AUSENCIA DE N,PIXELES BLANCOS,AREA P.,PERI P.,LARGO P.,ANCHO P.,PIXELES BLANCOS SEGMENTACION
NO,123870,123209,2035,542,956,33127
NO,152973,1538881,2645,585,616,38915
NO,130436,130527,2021,557,449,32067
NO,304262,304446,3256,696,825,53442
NO,332968,333118,3278,696,822,32903
NO,376603,377336,3095,694,834,61668
NO,256467,256539,3261,662,1022,35284
NO,262468,263009,2888,626,837,32836
NO,264949,265130,3193,690,821,42018
NO,280041,280166,2932,667,794,50132
SI,221534,221743,2764,603,680,145242
SI,215625,215691,2596,631,621,62556
SI,198836,199014,3045,580,623,70279
SI,207786,1815,7556,650,774,64992
SI,194324,194284,2885,625,917,64606
SI,149093,149247,2060,550,497,66739
SI,217265,217317,2677,625,1037,70071
SI,189342,189509,2503,626,651,97279
SI,158726,158887,2467,583,603,59880
SI,210953,211116,2691,616,676,68518
