AUSENCIA DE N,AREA CM.,PERI CM.,ANCHO CM.,LARGO CM.,AADLH,PDLHA
SI,212,85,18,13,139,66
SI,131,61,11,11,38,29
SI,125,74,11,11,44,35
SI,212,177,17,22,66,31
SI,158,81,20,13,53,34
SI,154,63,16,13,69,45
SI,187,77,30,14,60,32
SI,169,74,17,13,87,51
SI,194,86,22,17,73,38
SI,139,69,14,12,45,32
SI,117,65,11,12,36,31
SI,99,54,18,12,81,82
SI,138,81,14,17,54,39
SI,155,75,14,18,48,31
SI,212,75,16,18,80,38
SI,194,70,16,18,63,32
SI,186,65,16,15,70,38
SI,189,77,21,15,81,43
SI,227,54,25,19,73,32
SI,222,79,26,23,69,31
