HOJA,PIXELES BLANCOS,AREA P.,PERIMETRO P.,LARGO P.,ANCHO P.,PIXELES BLANCOS SEGMENTACION,AREA CM.,PERIMETRO CM.,ANCHO CM.,LARGO CM.,AREA AFECTADA DE LA HOJA,PORCENTAJE DE LA HOJA AFECTADO,AUSENCIA DE NITROGENO,MEDIA DE LA COMPONENTE R,MEDIA DE LA COMPONENTE G,MEDIA DE LA COMPONENTE B,VARIANZA DE LA COMPONENTE R,VARIANZA DE LA COMPONENTE G,VARIANZA DE LA COMPONENTE B
1,123870,123209,2035,542,956,33127,161,73,25,14,43,27,NO,114.47,50.74,216.61,1144.62,1226.75,3170.9
2,152973,1538881,2645,585,616,38915,139,74,15,13,35,25,NO,92.68,30.24,211.52,1335.97,1013.11,4669.53
3,130436,130527,2021,557,449,32067,139,65,11,13,34,24,NO,119,55,211.98,1634.73,1137.97,3808.5
4,304262,304446,3256,696,825,53442,246,87,18,16,43,17,NO,145.84,68.63,182.38,4802.49,1522.59,6359
5,332968,333118,3278,696,822,32903,272,93,18,15,27,10,NO,113.61,44.92,165,2991.44,1249.78,7015.86
6,376603,377336,3095,694,834,61668,320,68,21,19,52,16,NO,83.7,49.76,159.03,2158,1265,7097
7,256467,256539,3261,662,1022,35284,192,88,21,16,26,14,NO,74.84,32.19,179.31,1656.26,1289.37,6297.46
8,262468,263009,2888,626,837,32836,202,80,19,14,25,12,NO,80.42,33.17,177.25,2091.29,1235.33,6336
9,264949,265130,3193,690,821,42018,202,87,18,15,32,16,NO,77.62,31.24,178.38,1817,1143,6301.5
10,280041,280166,2932,667,794,50132,217,78,19,16,39,18,NO,77.72,35,177.31,1755,1164,6418.81
11,330655,331467,3512,681,978,73775,290,101,23,16,65,22,NO,82.53,43.74,165.77,2312.73,1330.14,6192.94
12,249804,24991,2888,650,1032,45402,186,78,22,15,34,18,NO,84.28,35.58,182,1545.31,1073.23,6095.42
13,267072,267199,3272,690,1026,56051,196,88,22,15,41,21,NO,84.37,34.3,180.21,1456.23,1114.84,6142.98
14,243304,242453,2989,654,1033,41942,197,72,25,15,34,17,NO,76.88,30.5,184.54,1240.9,1029.92,5979.96
15,280780,280950,3238,694,1013,77344,208,87,21,19,57,27,NO,80.71,38,180,1409.62,1102.31,6057.46
16,250667,248927,3051,968,1079,72904,217,89,24,22,63,29,NO,82,36,184,1755,1153,5663.27
17,225980,220061,2698,941,1079,61841,193,79,25,23,53,27,NO,77.61,29.15,187.9,1230.31,999.5,5473.28
18,217972,215369,2673,947,1079,39499,185,74,23,23,34,18,NO,73.68,27.31,187.71,1197,901.5,5858
19,213909,212130,2701,632,984,49942,182,67,21,15,42,23,NO,72,28.39,191.52,1135.5,985,5318.29
20,244742,243350,2444,981,1107,49118,193,68,23,22,39,20,NO,73.95,29,182.42,1318.6,963.26,5836.84
